                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 0.4999,                0.46985,                0.92317,                0.86221,                0.72102,                0.77542,                0.63196,                0.85973,                 1.0268,                 1.2101,             0.00067213,             0.00067213,             0.00067213
                    109,                0.50527,                0.46402,                 0.9215,                0.86076,                0.73418,                0.76955,                0.61512,                0.90074,                 1.0121,                 1.2973,             0.00066506,             0.00066506,             0.00066506
                    110,                0.48038,                  0.431,                0.91375,                0.93195,                0.74858,                0.82673,                0.67337,                0.83626,                0.88672,                 1.2164,             0.00065798,             0.00065798,             0.00065798
                    111,                0.49836,                0.48356,                0.92923,                0.93005,                0.83176,                0.91585,                0.72827,                0.83721,                0.80394,                 1.2116,             0.00065091,             0.00065091,             0.00065091
                    112,                0.49185,                0.46238,                0.92553,                0.84704,                0.83337,                0.90505,                0.68362,                0.95281,                0.91838,                 1.2567,             0.00064384,             0.00064384,             0.00064384
                    113,                0.47658,                0.44652,                0.93102,                0.98785,                0.73723,                0.90638,                0.70518,                0.85501,                0.84366,                 1.1854,             0.00063676,             0.00063676,             0.00063676
                    114,                0.47211,                0.43869,                0.91456,                0.91949,                0.77627,                0.92453,                0.73774,                0.76867,                0.74908,                 1.1628,             0.00062969,             0.00062969,             0.00062969
                    115,                0.50345,                0.44763,                0.94428,                0.91581,                0.76286,                0.87053,                0.69944,                0.77675,                0.84215,                 1.1732,             0.00062262,             0.00062262,             0.00062262
                    116,                0.48548,                0.46254,                0.91309,                0.85657,                0.68021,                0.85162,                0.68179,                0.73367,                0.90469,                  1.143,             0.00061554,             0.00061554,             0.00061554
                    117,                0.47298,                0.42836,                0.91622,                0.93486,                0.63558,                0.80606,                0.66611,                0.75603,                0.96548,                 1.1301,             0.00060847,             0.00060847,             0.00060847
                    118,                0.48219,                 0.4185,                0.92392,                 0.8906,                0.67121,                0.80545,                0.63281,                0.82965,                 1.0903,                  1.172,             0.00060139,             0.00060139,             0.00060139
                    119,                0.48955,                0.44283,                0.91772,                0.82577,                0.74556,                 0.8321,                 0.6408,                0.85382,                 1.0421,                 1.2122,             0.00059432,             0.00059432,             0.00059432
                    120,                0.50806,                0.43721,                0.92267,                0.90219,                 0.6811,                0.82269,                0.63726,                 0.8691,                 1.0095,                 1.2356,             0.00058725,             0.00058725,             0.00058725
                    121,                0.45649,                0.42043,                0.90492,                0.83194,                 0.6934,                0.80132,                0.61383,                0.91208,                 1.1291,                 1.2775,             0.00058017,             0.00058017,             0.00058017
                    122,                0.46086,                0.41309,                0.91515,                0.84832,                0.80262,                0.84261,                0.66639,                0.91302,                0.97462,                 1.3262,              0.0005731,              0.0005731,              0.0005731
                    123,                0.45837,                0.43529,                0.91953,                0.86245,                0.83426,                0.89108,                0.73562,                0.82835,                0.75766,                 1.2343,             0.00056603,             0.00056603,             0.00056603
                    124,                0.49374,                0.43376,                0.91934,                0.86487,                0.79668,                0.88225,                0.72005,                 0.8181,                0.86341,                 1.2211,             0.00055895,             0.00055895,             0.00055895
                    125,                0.47127,                0.42915,                0.90878,                0.88838,                0.79353,                0.88318,                0.72808,                0.78373,                0.83808,                 1.2049,             0.00055188,             0.00055188,             0.00055188
                    126,                0.46843,                0.44085,                0.91645,                0.91272,                 0.8114,                0.87238,                0.70201,                0.82872,                0.85137,                 1.2574,             0.00054481,             0.00054481,             0.00054481
                    127,                0.46759,                0.44067,                0.93226,                 0.9181,                0.83529,                0.87035,                0.68104,                0.88634,                0.84474,                 1.2873,             0.00053773,             0.00053773,             0.00053773
                    128,                0.44493,                0.40004,                0.90748,                0.89714,                0.87763,                0.89107,                0.69479,                0.80179,                 0.7673,                 1.2168,             0.00053066,             0.00053066,             0.00053066
                    129,                0.46961,                 0.4337,                0.91545,                0.91994,                0.86375,                0.90626,                0.69855,                0.83318,                0.76381,                 1.2259,             0.00052359,             0.00052359,             0.00052359
                    130,                0.44542,                0.41899,                 0.9105,                0.95348,                0.84286,                0.88295,                 0.6993,                0.75823,                0.75678,                 1.1313,             0.00051651,             0.00051651,             0.00051651
                    131,                0.43303,                0.40369,                0.89656,                0.94234,                0.87677,                0.88956,                0.70484,                0.77348,                0.72549,                 1.1565,             0.00050944,             0.00050944,             0.00050944
                    132,                0.42477,                0.39798,                0.88815,                0.90498,                0.87101,                0.89753,                 0.7186,                0.82123,                0.74854,                 1.2137,             0.00050236,             0.00050236,             0.00050236
                    133,                0.44639,                0.39678,                 0.8908,                0.86559,                0.89338,                0.89988,                0.72983,                0.81109,                0.68108,                 1.2261,             0.00049529,             0.00049529,             0.00049529
                    134,                0.45731,                0.41739,                0.90551,                0.80057,                0.83224,                0.87657,                0.70409,                0.81666,                0.75968,                 1.2382,             0.00048822,             0.00048822,             0.00048822
                    135,                0.43614,                0.40014,                0.88972,                0.81399,                0.81028,                0.86771,                0.70913,                0.80759,                0.87338,                 1.2177,             0.00048114,             0.00048114,             0.00048114
                    136,                0.43175,                0.38872,                0.91449,                0.77984,                0.75877,                0.84072,                0.67481,                0.78525,                0.87473,                 1.2082,             0.00047407,             0.00047407,             0.00047407
                    137,                0.45667,                0.40363,                0.92475,                0.80586,                0.84397,                0.85343,                0.70106,                0.78084,                0.86552,                 1.2018,               0.000467,               0.000467,               0.000467
                    138,                0.44269,                0.39799,                0.91227,                0.87235,                0.84383,                0.86401,                0.70307,                0.74801,                0.83291,                 1.1634,             0.00045992,             0.00045992,             0.00045992
                    139,                0.44107,                0.38396,                0.90622,                0.88011,                0.85402,                0.88941,                 0.7211,                0.73237,                 0.8105,                 1.1423,             0.00045285,             0.00045285,             0.00045285
                    140,                0.43806,                0.37763,                0.90331,                0.90903,                0.81533,                0.86626,                0.68602,                0.78487,                0.84103,                  1.186,             0.00044578,             0.00044578,             0.00044578
                    141,                0.42931,                0.38126,                0.91169,                0.93783,                0.79191,                0.88415,                0.70624,                0.78463,                0.83479,                 1.1885,              0.0004387,              0.0004387,              0.0004387
                    142,                0.42898,                0.39636,                0.89656,                 0.9746,                0.81959,                0.91168,                0.73247,                0.80239,                0.78841,                 1.2004,             0.00043163,             0.00043163,             0.00043163
                    143,                0.44383,                0.38372,                0.90048,                0.94848,                0.80811,                0.89636,                0.71223,                0.81164,                0.85527,                 1.2172,             0.00042456,             0.00042456,             0.00042456
                    144,                0.42109,                0.40995,                0.90203,                0.91691,                0.82602,                0.87458,                0.70749,                0.83798,                0.88838,                 1.2281,             0.00041748,             0.00041748,             0.00041748
                    145,                0.42786,                0.37671,                0.89247,                 0.9012,                 0.8281,                0.88123,                0.72682,                0.79106,                0.85627,                 1.2196,             0.00041041,             0.00041041,             0.00041041
                    146,                0.39493,                0.36422,                  0.892,                0.88302,                0.83607,                0.88529,                0.71878,                 0.8116,                0.82451,                 1.2444,             0.00040334,             0.00040334,             0.00040334
                    147,                0.39525,                0.37004,                0.89552,                0.93275,                0.83075,                0.90756,                0.74893,                0.77854,                0.76426,                 1.2243,             0.00039626,             0.00039626,             0.00039626
                    148,                 0.4306,                0.37767,                0.91299,                0.86722,                0.87095,                0.91431,                0.72266,                0.81229,                0.76533,                 1.2485,             0.00038919,             0.00038919,             0.00038919
